_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185213,0142D00008000000,"454 MARLIN DR, PITTSBURGH, PA 15228",454, ,,MARLIN,DR,,,PITTSBURGH,PA,15228,26,Mt Lebanon,926,Mt.Lebanon  ,2024-09-19,2024-08-10,1.0,19806,412.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.384410450000004,-80.04957687574554
3185214,0539L00271000000,"732 MACBETH DR, PITTSBURGH, PA 15235",732, ,,MACBETH,DR,,,PITTSBURGH,PA,15235,30,Penn Hills Twp,934,Penn Hills  ,2024-09-23,2024-09-05,187000.0,19808,269.0,0,VALID SALE,DE,DEED,,
3185215,1319K00020000000,"412 SAINT FAUSTINA ST, IMPERIAL, PA 15126",412, ,,SAINT FAUSTINA,ST,,,IMPERIAL,PA,15126,43,West Allegheny,910,Findlay  ,2024-09-23,2024-09-17,387500.0,19808,293.0,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,,
3185216,0640B00199000000,"215 HIGHLAND AVE, MONROEVILLE, PA 15146",215, ,,HIGHLAND,AVE,,,MONROEVILLE,PA,15146,18,Gateway,879,Monroeville  ,2024-09-23,2024-09-20,259900.0,19809,239.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.42220981251272,-79.79391835982125
3185217,0688G00130000000,"1138 OLIVIA DR, OAKDALE, PA 15071",1138, ,,OLIVIA,DR,,,OAKDALE,PA,15071,43,West Allegheny,929,North Fayette  ,2024-09-23,2024-09-10,348750.0,19809,322.0,H,MULTI-PARCEL SALE,DE,DEED,,
3185218,0450N00033000000,"0 OAK AVE, PITTSBURGH, PA 15235",0, ,,OAK,AVE,,,PITTSBURGH,PA,15235,30,Penn Hills Twp,934,Penn Hills  ,2024-09-16,2024-08-28,1.0,19803,79.0,H,MULTI-PARCEL SALE,QC,QUIT CLAIM,,
3185219,0859D00175000000,"118 OLD SUFFOLK DR, MONROEVILLE, PA 15146",118, ,,OLD SUFFOLK,DR,,,MONROEVILLE,PA,15146,18,Gateway,879,Monroeville  ,2024-09-25,2024-09-09,350000.0,19811,284.0,0,VALID SALE,DE,DEED,40.411995505776936,-79.75048965838614
3185220,0235C00058000000,"2751 COLUMBIA AVE, PITTSBURGH, PA 15221",2751, ,,COLUMBIA,AVE,,,PITTSBURGH,PA,15221,9,Woodland Hills,872,Braddock Hills  ,2024-09-25,2024-09-18,217000.0,19811,340.0,0,VALID SALE,DE,DEED,,
3185221,0150S00096010200,"311 PENNSVIEW CT, PITTSBURGH, PA 15205",311, ,,PENNSVIEW,CT,,,PITTSBURGH,PA,15205,24,Montour,871,Pennsbury Village  ,2024-09-25,2024-09-19,1.0,19811,515.0,3,LOVE AND AFFECTION SALE,SW,SPECIAL WARRANTY,,
3185222,0720J00366000000,"3976 LETORT LN, ALLISON PARK, PA 15101",3976, ,,LETORT,LN,,,ALLISON PARK,PA,15101,20,Hampton Township,914,Hampton  ,2024-09-27,2024-08-30,700007.0,19814,424.0,0,VALID SALE,GW,GENERAL WARRANTY,,
3185223,0056R00131000000,"5315 GERTRUDE ST, PITTSBURGH, PA 15207",5315, ,,GERTRUDE,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-09-27,2024-09-25,10000.0,19814,524.0,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,40.40456834558907,-79.94133294549512
3185224,0090M00171000000,"4411 ARMORHILL AVE, HOMESTEAD, PA 15120",4411, ,,ARMORHILL,AVE,,,HOMESTEAD,PA,15120,47,Pittsburgh,131,31st Ward - PITTSBURGH,2024-09-26,2024-09-12,148000.0,19810,476.0,0,VALID SALE,DE,DEED,40.39682597509423,-79.91969811655468
3185225,0405E00110000000,"1027 STONEGATE DR, MC DONALD, PA 15057",1027, ,,STONEGATE,DR,,,MC DONALD,PA,15057,36,South Fayette Twp,946,South Fayette  ,2024-09-25,2024-09-20,945522.0,19812,140.0,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,,
3185226,0619H00024000000,"3320 LENOX DR, PITTSBURGH, PA 15238",3320, ,,LENOX,DR,,,PITTSBURGH,PA,15238,17,Fox Chapel Area,917,Indiana  ,2024-09-26,2024-09-17,145000.0,19813,342.0,16,BUILDING NOT YET ASSESSED,DE,DEED,,
3185227,0003P00067000000,"0 BROWNSVILLE RD, PITTSBURGH, PA 15203",0, ,,BROWNSVILLE,RD,,,PITTSBURGH,PA,15203,47,Pittsburgh,118,18th Ward - PITTSBURGH,2024-09-27,2024-08-29,1.0,19815,538.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.41603497766103,-79.98711562750611
3185228,0154M00062000000,"140 CONNIE PARK DR, MC KEES ROCKS, PA 15136",140, ,,CONNIE PARK,DR,,,MC KEES ROCKS,PA,15136,24,Montour,919,Kennedy  ,2024-09-25,2024-09-19,330000.0,19812,359.0,99,CORRECTIVE DEED / DUPLICATE SALE,DE,DEED,,
3185229,0567C00138000000,"2898 CEDAR ST, BETHEL PARK, PA 15102",2898, ,,CEDAR,ST,,,BETHEL PARK,PA,15102,5,Bethel Park,876,Bethel Park  ,2024-09-25,2024-09-23,165000.0,19812,450.0,0,VALID SALE,DE,DEED,40.32416,-80.039929
3185230,0614J00007000000,"5007 ESSEX CT, PITTSBURGH, PA 15237",5007, ,,ESSEX,CT,,,PITTSBURGH,PA,15237,28,North Hills,940,Ross  ,2024-09-25,2024-09-23,617000.0,19812,569.0,0,VALID SALE,SW,SPECIAL WARRANTY,,
3185231,0293E00265000000,"41 RIVERSIDE CT, PITTSBURGH, PA 15238",41, ,,RIVERSIDE,CT,,,PITTSBURGH,PA,15238,17,Fox Chapel Area,806,Blawnox  ,2024-10-03,2024-10-01,25000.0,19821,58.0,14,TIME ON MARKET (INSUFF/EXCESS),SW,SPECIAL WARRANTY,,
3185232,0006M00312240000,"1 TRIMONT LN, UNIT 2400A, PITTSBURGH, PA 15211",1, ,,TRIMONT,LN,UNIT,2400A,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-10-07,2024-09-27,1279000.0,19823,433.0,H,MULTI-PARCEL SALE,GW,GENERAL WARRANTY,,
3185233,0098R00020000000,"3319 PIEDMONT AVE, PITTSBURGH, PA 15216",3319, ,,PIEDMONT,AVE,,,PITTSBURGH,PA,15216,22,Keystone Oaks,819,Dormont  ,2024-10-08,2024-10-03,400000.0,19825,590.0,9,OTHER INVALID SALES INDICATED,SW,SPECIAL WARRANTY,,
3185234,0369R00114000000,"708 PENNWOOD DR, PITTSBURGH, PA 15235",708, ,,PENNWOOD,DR,,,PITTSBURGH,PA,15235,30,Penn Hills Twp,934,Penn Hills  ,2024-10-01,2024-08-21,1.0,19818,444.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,,
3185235,0099R00252000000,"642 ROYCE AVE, PITTSBURGH, PA 15243",642, ,,ROYCE,AVE,,,PITTSBURGH,PA,15243,26,Mt Lebanon,926,Mt.Lebanon  ,2024-10-07,2024-09-25,330000.0,19824,242.0,37,ESTATE SALE,FD,FIDUCIARY DEED,40.3861488,-80.05639604999999
3185236,0378N00259000000,"626 ARCH ST, DUQUESNE, PA 15110",626, ,,ARCH,ST,,,DUQUESNE,PA,15110,13,Duquesne City,303,3rd Ward  - DUQUESNE,2024-10-08,2024-09-06,1.0,19826,286.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.365715571428574,-79.8454563877551
3185237,0144P00258000000,"137 KNOX ST, BRIDGEVILLE, PA 15017",137, ,,KNOX,ST,,,BRIDGEVILLE,PA,15017,8,Chartiers Valley,941,Scott  ,2024-10-08,2024-10-02,225000.0,19826,296.0,0,VALID SALE,DE,DEED,,
3185238,0364L00260000000,"734 HERRON AVE, VERONA, PA 15147",734, ,,HERRON,AVE,,,VERONA,PA,15147,33,Riverview,859,Verona  ,2024-04-30,2024-04-24,1.0,19653,435.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.506218272727274,-79.84030087878787
3185239,0006M00312375000,"1 TRIMONT LN, UNIT 750C, PITTSBURGH, PA 15211",1, ,,TRIMONT,LN,UNIT,750C,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-04-29,2024-04-23,350000.0,19652,457.0,0,VALID SALE,DE,DEED,,
3185240,1661S00009000000,"3323 JACKSON RD, GIBSONIA, PA 15044",3323, ,,JACKSON,RD,,,GIBSONIA,PA,15044,3,Pine-Richland,935,Pine  ,2024-01-24,2024-01-15,229900.0,19558,236.0,0,VALID SALE,DE,DEED,,
3185241,0522L00140000000,"2703 SAPLING ST, ALLISON PARK, PA 15101",2703, ,,SAPLING,ST,,,ALLISON PARK,PA,15101,34,Shaler Area,944,Shaler  ,2024-01-24,2024-01-23,209000.0,19558,113.0,0,VALID SALE,FD,FIDUCIARY DEED,,
3185242,0462A00038000000,"228 OXFORD DR, MC KEESPORT, PA 15132",228, ,,OXFORD,DR,,,MC KEESPORT,PA,15132,23,McKeesport Area,412,12th Ward  - McKEESPORT,2024-01-23,2024-01-17,3442531.0,19556,533.0,H,MULTI-PARCEL SALE,DE,DEED,,
3185243,0138J00365000000,"2425 KINGWOOD ST, PITTSBURGH, PA 15234",2425, ,,KINGWOOD,ST,,,PITTSBURGH,PA,15234,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2024-01-26,2024-01-11,70000.0,19559,553.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.37918973401437,-79.99529994333125
3185244,0380C00030000000,"2315 5TH AVE, MC KEESPORT, PA 15132",2315, ,,5TH,AVE,,,MC KEESPORT,PA,15132,23,McKeesport Area,408,8th Ward  - McKEESPORT,2024-01-23,2024-01-17,3442531.0,19556,533.0,H,MULTI-PARCEL SALE,DE,DEED,,
3185245,0147D00001000000,"405 PRESTLEY ST, CARNEGIE, PA 15106",405, ,,PRESTLEY,ST,,,CARNEGIE,PA,15106,8,Chartiers Valley,905,Collier  ,2024-01-31,2024-01-29,10.0,19563,572.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.40262504280892,-80.099826
3185246,0233G00154000000,"1350 WOODLAWN AVE, PITTSBURGH, PA 15221",1350, ,,WOODLAWN,AVE,,,PITTSBURGH,PA,15221,46,Wilkinsburg Boro,866,Wilkinsburg  ,2024-01-30,2024-01-26,1.0,19563,411.0,3,LOVE AND AFFECTION SALE,DE,DEED,,
3185247,0049B00287001300,"229 43RD ST, PITTSBURGH, PA 15201",229, ,,43RD,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-01-31,2024-01-31,945000.0,19564,558.0,27,NO ASSESSED VALUATION,DE,DEED,40.47003098452821,-79.95901206870566
3185248,0181H00177000000,"0 2ND AVE, WEST MIFFLIN, PA 15122",0, ,,2ND,AVE,,,WEST MIFFLIN,PA,15122,45,West Mifflin Area,870,West Mifflin  ,2024-02-13,2024-02-09,145900.0,19575,142.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.389753041453126,-79.88560826378702
3185249,0230D00033000000,"192 SUNCREST DR, VERONA, PA 15147",192, ,,SUNCREST,DR,,,VERONA,PA,15147,30,Penn Hills Twp,934,Penn Hills  ,2024-02-09,2024-02-08,1.0,19573,411.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,,
3185250,0234C00002000000,"300 DEWEY ST, PITTSBURGH, PA 15218",300, ,,DEWEY,ST,,,PITTSBURGH,PA,15218,9,Woodland Hills,823,Edgewood  ,2024-02-09,2024-02-09,330000.0,19574,228.0,14,TIME ON MARKET (INSUFF/EXCESS),FD,FIDUCIARY DEED,,
3185251,0080N00137000000,"116 44TH ST, PITTSBURGH, PA 15201",116, ,,44TH,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-02-15,2024-02-08,175000.0,19576,426.0,1,SHERIFF SALE,SD,SHERIFF DEED,40.47319929642695,-79.96235547604002
3185252,0760M00091000000,"1825 TURKEYFOOT RD, MC KEESPORT, PA 15135",1825, ,,TURKEYFOOT,RD,,,MC KEESPORT,PA,15135,16,Elizabeth Forward,908,Elizabeth Twp  ,2024-01-25,2024-01-25,1.0,19559,517.0,3,LOVE AND AFFECTION SALE,DE,DEED,,
3185253,0016K00135000000,"1112 GLADYS AVE, PITTSBURGH, PA 15216",1112, ,,GLADYS,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-02-15,2024-02-09,148500.0,19576,490.0,0,VALID SALE,DE,DEED,40.41741755,-80.0244031
3185254,0197N00317000000,"1283 NEWBURY HIGHLAND, BRIDGEVILLE, PA 15017",1283, ,,NEWBURY HIGHLAND,,,,BRIDGEVILLE,PA,15017,36,South Fayette Twp,946,South Fayette  ,2024-02-21,2024-02-07,618000.0,19580,533.0,0,VALID SALE,DE,DEED,,
3185255,0378J00309000000,"208 S 5TH ST, DUQUESNE, PA 15110",208, ,S,5TH,ST,,,DUQUESNE,PA,15110,13,Duquesne City,302,2nd Ward  - DUQUESNE,2024-02-29,2024-02-29,1.0,19588,11.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.36908614100494,-79.84878114859293
3185256,2183B00011000000,"133 MINNOCK DR, MARS, PA 16046",133, ,,MINNOCK,DR,,,MARS,PA,16046,3,Pine-Richland,935,Pine  ,2024-03-11,2024-03-08,1.0,19597,163.0,3,LOVE AND AFFECTION SALE,DE,DEED,,
3185257,0040G00272000000,"6 ELMONT ST, PITTSBURGH, PA 15205",6, ,,ELMONT,ST,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2024-03-12,2024-03-04,217500.0,19600,116.0,0,VALID SALE,DE,DEED,40.43890444715718,-80.05641957483772
3185258,0144C00054000000,"319 OLD WASHINGTON PIKE, CARNEGIE, PA 15106",319, ,,OLD WASHINGTON,PIKE,,,CARNEGIE,PA,15106,8,Chartiers Valley,941,Scott  ,2024-03-13,2024-02-20,169900.0,19600,435.0,0,VALID SALE,DE,DEED,,
3185259,0232L00234000100,"1358 LAKETON RD, PITTSBURGH, PA 15221",1358, ,,LAKETON,RD,,,PITTSBURGH,PA,15221,46,Wilkinsburg Boro,866,Wilkinsburg  ,2024-03-14,2024-02-28,34700.0,19602,213.0,35,CORPORATION TRANSFER,DE,DEED,,
3185260,0372M00274000000,"979 ROLAND RD, PITTSBURGH, PA 15221",979, ,,ROLAND,RD,,,PITTSBURGH,PA,15221,9,Woodland Hills,953,Wilkins ,2024-03-13,2024-02-19,61350.0,19600,384.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,,
3185261,0293S00317000000,"113 SANDY CREEK RD, VERONA, PA 15147",113, ,,SANDY CREEK,RD,,,VERONA,PA,15147,30,Penn Hills Twp,934,Penn Hills  ,2024-03-14,2024-02-29,366666.0,19603,164.0,H,MULTI-PARCEL SALE,DE,DEED,,
3185262,0075M00024000000,"3246 RICHARDSON AVE, PITTSBURGH, PA 15212",3246, ,,RICHARDSON,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-03-14,2024-03-04,84900.0,19603,264.0,0,VALID SALE,GW,GENERAL WARRANTY,40.475022,-80.036645
3185263,0297K00138000000,"2046 BEECH ST, PITTSBURGH, PA 15221",2046, ,,BEECH,ST,,,PITTSBURGH,PA,15221,46,Wilkinsburg Boro,866,Wilkinsburg  ,2024-03-14,2024-03-01,1.0,19603,396.0,H,MULTI-PARCEL SALE,DE,DEED,40.48105257052024,-80.00190641192965
3185264,0080G00086000000,"4921 BUTLER ST, PITTSBURGH, PA 15201",4921, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-01-11,2024-01-11,175000.0,19548,102.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.47730650981965,-79.95681191820508
3185265,0176L00355000000,"610 HAMPTON AVE, PITTSBURGH, PA 15221",610, ,,HAMPTON,AVE,,,PITTSBURGH,PA,15221,46,Wilkinsburg Boro,866,Wilkinsburg  ,2024-01-17,2024-01-16,75000.0,19551,131.0,1,SHERIFF SALE,SD,SHERIFF DEED,,
3185266,0462A00064000000,"1805 EDEN PARK BLVD, MC KEESPORT, PA 15132",1805, ,,EDEN PARK,BLVD,,,MC KEESPORT,PA,15132,23,McKeesport Area,412,12th Ward  - McKEESPORT,2024-01-23,2024-01-17,2144000.0,19556,459.0,H,MULTI-PARCEL SALE,DE,DEED,,
3185267,1519K00177000000,"1629 UNION AVE, NATRONA HEIGHTS, PA 15065",1629, ,,UNION,AVE,,,NATRONA HEIGHTS,PA,15065,21,Highlands,916,Harrison  ,2024-01-25,2024-01-11,73000.0,19558,476.0,35,CORPORATION TRANSFER,DE,DEED,40.618785699292424,-79.72937031783302
3185268,1002G00089000000,"629 GRANDVIEW AVE, CLAIRTON, PA 15025",629, ,,GRANDVIEW,AVE,,,CLAIRTON,PA,15025,10,Clairton City,202,2nd Ward - CLAIRTON,2024-01-24,2024-01-24,0.0,19558,1.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.2837489,-79.8894942
3185269,0050E00076000000,"4721 KINCAID ST, PITTSBURGH, PA 15224",4721, ,,KINCAID,ST,,,PITTSBURGH,PA,15224,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-01-25,2024-01-14,1.0,19559,211.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.46901234997264,-79.94633583895889
3185270,0004M00185000000,"321 BAILEY AVE, PITTSBURGH, PA 15211",321, ,,BAILEY,AVE,,,PITTSBURGH,PA,15211,47,Pittsburgh,118,18th Ward - PITTSBURGH,2024-01-29,2024-01-23,789000.0,19561,266.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.42701433333333,-80.00156633333334
3185271,0083L00254000000,"6102 EAST LIBERTY BLVD, PITTSBURGH, PA 15206",6102, ,,EAST LIBERTY,BLVD,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,2024-01-29,2024-01-25,81500.0,19562,13.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.46529007142857,-79.92022862244897
3185272,0298K00063000000,"18 WOODSIDE RD, PITTSBURGH, PA 15221",18, ,,WOODSIDE,RD,,,PITTSBURGH,PA,15221,9,Woodland Hills,828,Forest Hills  ,2024-01-26,2024-01-11,1.0,19560,84.0,3,LOVE AND AFFECTION SALE,DE,DEED,,
3185273,0464D00028000000,"2412 GRANDVIEW AVE, MC KEESPORT, PA 15132",2412, ,,GRANDVIEW,AVE,,,MC KEESPORT,PA,15132,23,McKeesport Area,409,9th Ward  -  McKEESPORT,2024-01-30,2024-01-24,32000.0,19562,467.0,14,TIME ON MARKET (INSUFF/EXCESS),SW,SPECIAL WARRANTY,,
3185274,0392P00225100800,"1008 LENOX DR, BETHEL PARK, PA 15102",1008, ,,LENOX,DR,,,BETHEL PARK,PA,15102,5,Bethel Park,876,Bethel Park  ,2024-01-26,2024-01-17,218000.0,19561,70.0,0,VALID SALE,DE,DEED,40.33737591902784,-80.02748910267808
3185275,0265H00063000000,"1429 IROQUOIS DR, PITTSBURGH, PA 15205",1429, ,,IROQUOIS,DR,,,PITTSBURGH,PA,15205,24,Montour,939,Robinson  ,2025-01-16,2024-09-21,1.0,19925,156.0,3,LOVE AND AFFECTION SALE,DE,DEED,,
3185276,1268A00339000000,"603 HIGH ST, ELIZABETH, PA 15037",603, ,,HIGH,ST,,,ELIZABETH,PA,15037,16,Elizabeth Forward,908,Elizabeth Twp  ,2025-01-27,2024-12-20,1.0,19931,261.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.26715406149059,-79.83248104560231
3185277,1661G00016000000,"0 WEXFORD RD, GIBSONIA, PA 15044",0, ,,WEXFORD,RD,,,GIBSONIA,PA,15044,3,Pine-Richland,935,Pine  ,2025-01-15,2024-12-30,1.0,19923,387.0,3,LOVE AND AFFECTION SALE,DE,DEED,,
3185278,0045F00022000000,"1213 WOODLAND AVE, PITTSBURGH, PA 15212",1213, ,,WOODLAND,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-08-19,2024-07-15,42000.0,19772,208.0,35,CORPORATION TRANSFER,SW,SPECIAL WARRANTY,40.469405239703626,-80.02788827915893
3185279,0091G00077000000,"446 MARINA ST, HOMESTEAD, PA 15120",446, ,,MARINA,ST,,,HOMESTEAD,PA,15120,47,Pittsburgh,131,31st Ward - PITTSBURGH,2024-08-19,2024-08-19,1.0,19773,95.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.392024549999995,-79.92408825
3185280,0637S00040000000,"531 FIELDSTONE DR, MONROEVILLE, PA 15146",531, ,,FIELDSTONE,DR,,,MONROEVILLE,PA,15146,18,Gateway,879,Monroeville  ,2024-08-14,2024-08-14,125000.0,19769,207.0,1,SHERIFF SALE,SD,SHERIFF DEED,40.44677386652931,-79.78388353231064
3185281,0233M00047000000,"538-540 PRINCETON BLVD, PITTSBURGH, PA 15221",538, -540,,PRINCETON,BLVD,,,PITTSBURGH,PA,15221,46,Wilkinsburg Boro,866,Wilkinsburg  ,2024-08-20,2024-08-15,600000.0,19774,224.0,H,MULTI-PARCEL SALE,DE,DEED,,
3185282,0006M00312010200,"1 TRIMONT LN, UNIT 102P, PITTSBURGH, PA 15211",1, ,,TRIMONT,LN,UNIT,102P,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-08-19,2024-08-01,185000.0,19773,479.0,0,VALID SALE,SW,SPECIAL WARRANTY,,
3185283,0521H00064000000,"1207 BURCHFIELD RD, ALLISON PARK, PA 15101",1207, ,,BURCHFIELD,RD,,,ALLISON PARK,PA,15101,34,Shaler Area,944,Shaler  ,2024-08-19,2024-08-14,105000.0,19773,570.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,,
3185284,0474D00030000000,"1178 SNEE DR, BETHEL PARK, PA 15102",1178, ,,SNEE,DR,,,BETHEL PARK,PA,15102,5,Bethel Park,876,Bethel Park  ,2024-08-22,2024-08-16,539000.0,19776,330.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.335789250000005,-80.000159
3185285,0035E00086000000,"1603 CANTON AVE, PITTSBURGH, PA 15216",1603, ,,CANTON,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-08-23,2024-08-16,65000.0,19778,482.0,H,MULTI-PARCEL SALE,DE,DEED,40.410247671175355,-80.0300050726598
3185286,0142K00255000000,"909 SUMMER PL, PITTSBURGH, PA 15243",909, ,,SUMMER,PL,,,PITTSBURGH,PA,15243,26,Mt Lebanon,926,Mt.Lebanon  ,2024-08-21,2024-08-16,380000.0,19775,375.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.3779461,-80.06023056409288
3185287,0142S00106000000,"912 MIAMI AVE, PITTSBURGH, PA 15228",912, ,,MIAMI,AVE,,,PITTSBURGH,PA,15228,26,Mt Lebanon,926,Mt.Lebanon  ,2024-08-21,2024-08-16,385000.0,19775,381.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,,
3185288,0073S00225000000,"39 MCKINNIE AVE, MC KEES ROCKS, PA 15136",39, ,,MCKINNIE,AVE,,,MC KEES ROCKS,PA,15136,39,Sto-Rox,949,Stowe  ,2024-08-22,2024-08-19,28000.0,19777,9.0,9,OTHER INVALID SALES INDICATED,DE,DEED,,
3185289,0390R00054000000,"5389 OVERLAND TRL, PITTSBURGH, PA 15236",5389, ,,OVERLAND,TRL,,,PITTSBURGH,PA,15236,4,Baldwin Whitehall,877,Baldwin Boro  ,2024-08-22,2024-08-20,1.0,19777,62.0,3,LOVE AND AFFECTION SALE,DE,DEED,,
3185290,0067R00023000000,"3002 DOOLITTLE ST, CARNEGIE, PA 15106",3002, ,,DOOLITTLE,ST,,,CARNEGIE,PA,15106,47,Pittsburgh,128,28th Ward - PITTSBURGH,2024-08-21,2024-08-16,175000.0,19776,18.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.414738067568706,-80.07510026284056
3185291,0049B00205000000,"4502 BUTLER ST, PITTSBURGH, PA 15201",4502, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-08-22,2024-06-28,1.0,19778,96.0,H,MULTI-PARCEL SALE,DE,DEED,40.4721724,-79.9590479
3185292,0120G00101000000,"6068 BUTLER ST, PITTSBURGH, PA 15201",6068, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-08-22,2024-06-28,1.0,19778,125.0,H,MULTI-PARCEL SALE,DE,DEED,40.48695214504717,-79.94104368812677
3185293,0120K00126000000,"6030 BUTLER ST, PITTSBURGH, PA 15201",6030, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-08-23,2024-08-15,1.0,19779,29.0,H,MULTI-PARCEL SALE,DE,DEED,40.4866242398554,-79.94197497827376
3185294,0130L00211000000,"905 DICKSON ST, HOMESTEAD, PA 15120",905, ,,DICKSON,ST,,,HOMESTEAD,PA,15120,38,Steel Valley,840,Munhall  ,2024-08-23,2024-08-15,1.0,19779,29.0,H,MULTI-PARCEL SALE,DE,DEED,40.409519475118,-79.90569526166871
3185295,0120K00134000000,"6026 BUTLER ST, PITTSBURGH, PA 15201",6026, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-08-23,2024-08-15,1.0,19779,46.0,H,MULTI-PARCEL SALE,DE,DEED,40.486524,-79.94226
3185296,0370C00339000000,"732 VERONICA DR, PITTSBURGH, PA 15235",732, ,,VERONICA,DR,,,PITTSBURGH,PA,15235,30,Penn Hills Twp,934,Penn Hills  ,2024-08-29,2024-08-16,1.0,19784,319.0,3,LOVE AND AFFECTION SALE,DE,DEED,,
3185297,1067M00020000000,"1708 DAWN DR, SEWICKLEY, PA 15143",1708, ,,DAWN,DR,,,SEWICKLEY,PA,15143,27,North Allegheny,884,Franklin Park ,2024-08-30,2024-08-08,590000.0,19786,323.0,0,VALID SALE,DE,DEED,,
3185298,0047M00276000000,"0 FROMAN ST, PITTSBURGH, PA 15212",0, ,,FROMAN,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,124,24th Ward - PITTSBURGH,2024-09-03,2024-08-15,108000.0,19788,7.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.46511457576041,-79.9830124428709
3185299,0070M00221000000,"123 W PROSPECT AVE, PITTSBURGH, PA 15205",123, ,W,PROSPECT,AVE,,,PITTSBURGH,PA,15205,24,Montour,835,Ingram  ,2024-09-03,2024-08-30,200000.0,19788,88.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.447209109969236,-80.07032022229198
3185300,0117J00001000000,"0 FABER TER, PITTSBURGH, PA 15214",0, ,,FABER,TER,,,PITTSBURGH,PA,15214,34,Shaler Area,937,Reserve  ,2024-09-03,2024-08-29,6500.0,19788,381.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,,
